student_id,course_id,timeslot
S001,CS101,TSTue_PM
S001,CS102,TSMon_AM
S001,CS103,TSWed_PM
S001,MATH101,TSThu_AM
S001,ENG101,TSWed_AM
S001,CS201,TSMon_AM
S002,CS101,TSThu_AM
S002,CS102,TSWed_AM
S002,CS103,TSThu_AM
S002,MATH101,TSFri_AM
S002,ENG101,TSThu_AM
S002,CS201,TSTue_PM
S003,CS101,TSThu_AM
S003,CS102,TSThu_PM
S003,CS103,TSFri_PM
S003,MATH101,TSWed_PM
S003,ENG101,TSWed_AM
S003,CS201,TSFri_AM
S004,CS101,TSFri_AM
S004,CS102,TSMon_AM
S004,CS103,TSTue_PM
S004,MATH101,TSWed_AM
S004,ENG101,TSTue_AM
S004,CS201,TSTue_AM
S005,CS101,TSThu_AM
S005,CS102,TSMon_AM
S005,CS103,TSTue_PM
S005,MATH101,TSWed_AM
S005,ENG101,TSFri_PM
S005,CS201,TSFri_AM
S006,CS101,TSThu_PM
S006,CS102,TSMon_AM
S006,CS103,TSMon_AM
S006,MATH101,TSTue_PM
S006,ENG101,TSFri_PM
S006,CS201,TSTue_AM
S007,CS101,TSMon_AM
S007,CS102,TSFri_AM
S007,CS103,TSThu_PM
S007,MATH101,TSTue_PM
S007,ENG101,TSMon_PM
S007,CS201,TSFri_PM
S008,CS101,TSWed_AM
S008,CS102,TSTue_PM
S008,CS103,TSWed_PM
S008,MATH101,TSTue_PM
S008,ENG101,TSWed_PM
S008,CS201,TSFri_AM
S009,CS101,TSTue_PM
S009,CS102,TSMon_AM
S009,CS103,TSFri_PM
S009,MATH101,TSFri_AM
S009,ENG101,TSTue_AM
S009,CS201,TSMon_AM
S010,CS101,TSWed_AM
S010,CS102,TSMon_AM
S010,CS103,TSThu_PM
S010,MATH101,TSWed_PM
S010,ENG101,TSTue_AM
S010,CS201,TSMon_AM
S011,CS101,TSThu_PM
S011,CS102,TSFri_AM
S011,CS103,TSMon_AM
S011,MATH101,TSThu_AM
S011,ENG101,TSMon_AM
S011,CS201,TSTue_AM
S012,CS101,TSFri_AM
S012,CS102,TSWed_AM
S012,CS103,TSFri_PM
S012,MATH101,TSWed_PM
S012,ENG101,TSTue_AM
S012,CS201,TSFri_PM
S013,CS101,TSFri_AM
S013,CS102,TSTue_AM
S013,CS103,TSThu_PM
S013,MATH101,TSTue_PM
S013,ENG101,TSFri_AM
S013,CS201,TSWed_AM
S014,CS101,TSFri_PM
S014,CS102,TSTue_AM
S014,CS103,TSWed_AM
S014,MATH101,TSThu_AM
S014,ENG101,TSMon_AM
S014,CS201,TSMon_AM
S015,CS101,TSMon_AM
S015,CS102,TSThu_PM
S015,CS103,TSThu_AM
S015,MATH101,TSWed_AM
S015,ENG101,TSTue_PM
S015,CS201,TSFri_PM
S016,CS101,TSThu_PM
S016,CS102,TSWed_AM
S016,CS103,TSWed_AM
S016,MATH101,TSWed_PM
S016,ENG101,TSTue_AM
S016,CS201,TSFri_PM
S017,CS101,TSThu_PM
S017,CS102,TSFri_AM
S017,CS103,TSMon_AM
S017,MATH101,TSTue_PM
S017,ENG101,TSFri_AM
S017,CS201,TSMon_AM
S018,CS101,TSFri_AM
S018,CS102,TSWed_AM
S018,CS103,TSWed_AM
S018,MATH101,TSFri_AM
S018,ENG101,TSFri_PM
S018,CS201,TSTue_AM
S019,CS101,TSThu_AM
S019,CS102,TSMon_AM
S019,CS103,TSMon_AM
S019,MATH101,TSWed_PM
S019,ENG101,TSThu_PM
S019,CS201,TSTue_AM
S020,CS101,TSWed_AM
S020,CS102,TSFri_AM
S020,CS103,TSThu_AM
S020,MATH101,TSTue_PM
S020,ENG101,TSFri_PM
S020,CS201,TSWed_PM
S021,CS101,TSTue_PM
S021,CS102,TSThu_PM
S021,CS103,TSMon_AM
S021,MATH101,TSThu_AM
S021,ENG101,TSMon_AM
S021,CS201,TSFri_AM
S022,CS101,TSMon_AM
S022,CS102,TSWed_AM
S022,CS103,TSFri_AM
S022,MATH101,TSTue_AM
S022,ENG101,TSTue_PM
S022,CS201,TSThu_AM
S023,CS101,TSThu_PM
S023,CS102,TSFri_PM
S023,CS103,TSWed_AM
S023,MATH101,TSTue_AM
S023,ENG101,TSWed_PM
S023,CS201,TSThu_AM
S024,CS101,TSMon_AM
S024,CS102,TSFri_AM
S024,CS103,TSWed_AM
S024,MATH101,TSTue_AM
S024,ENG101,TSFri_PM
S024,CS201,TSWed_PM
S025,CS101,TSFri_AM
S025,CS102,TSTue_AM
S025,CS103,TSThu_AM
S025,MATH101,TSWed_AM
S025,ENG101,TSWed_AM
S025,CS201,TSWed_PM
S026,CS101,TSFri_PM
S026,CS102,TSThu_PM
S026,CS103,TSWed_PM
S026,MATH101,TSThu_PM
S026,ENG101,TSTue_AM
S026,CS201,TSWed_AM
S027,CS101,TSTue_AM
S027,CS102,TSThu_AM
S027,CS103,TSFri_PM
S027,MATH101,TSWed_PM
S027,ENG101,TSThu_PM
S027,CS201,TSTue_AM
S028,CS101,TSFri_PM
S028,CS102,TSTue_AM
S028,CS103,TSTue_AM
S028,MATH101,TSTue_AM
S028,ENG101,TSWed_PM
S028,CS201,TSTue_AM
S029,CS101,TSThu_PM
S029,CS102,TSTue_PM
S029,CS103,TSFri_AM
S029,MATH101,TSTue_AM
S029,ENG101,TSWed_PM
S029,CS201,TSFri_PM
S030,CS101,TSTue_PM
S030,CS102,TSTue_AM
S030,CS103,TSThu_PM
S030,MATH101,TSMon_AM
S030,ENG101,TSWed_AM
S030,CS201,TSThu_AM
